category, name
"H5F_ACC","H5F_ACC_TRUNC"
"H5F_ACC","H5F_ACC_EXCL"
"H5F_ACC","H5F_ACC_DEBUG"
"H5F_ACC","H5F_ACC_RDONLY"
"H5F_ACC","H5F_ACC_RDWR"
"H5F_ACC","H5F_ACC_DEFAULT"
"H5F_ACC","H5F_ACC_SWMR_WRITE"
"H5F_ACC","H5F_ACC_SWMR_READ"
"H5P","H5P_DEFAULT"
"H5S","H5S_ALL"
"H5TOR","H5TOR_CONV_NONE"
"H5TOR","H5TOR_CONV_INT64_INT_NOLOSS"
"H5TOR","H5TOR_CONV_INT64_FLOAT_NOLOSS"
"H5TOR","H5TOR_CONV_INT64_FLOAT_FORCE"
"H5TOR","H5TOR_CONV_UINT64_NA"
"H5TOR","H5TOR_CONV_INT64_NOLOSS"
"H5F_OBJ","H5F_OBJ_FILE"
"H5F_OBJ","H5F_OBJ_DATASET"
"H5F_OBJ","H5F_OBJ_GROUP"
"H5F_OBJ","H5F_OBJ_DATATYPE"
"H5F_OBJ","H5F_OBJ_ATTR"
"H5F_OBJ","H5F_OBJ_ALL"
"H5F_OBJ","H5F_OBJ_LOCAL"
"H5P","H5P_ATTRIBUTE_CREATE"
"H5P","H5P_DATASET_ACCESS"
"H5P","H5P_DATASET_CREATE"
"H5P","H5P_DATASET_XFER"
"H5P","H5P_DATATYPE_ACCESS"
"H5P","H5P_DATATYPE_CREATE"
"H5P","H5P_FILE_ACCESS"
"H5P","H5P_FILE_CREATE"
"H5P","H5P_FILE_MOUNT"
"H5P","H5P_GROUP_ACCESS"
"H5P","H5P_GROUP_CREATE"
"H5P","H5P_LINK_ACCESS"
"H5P","H5P_LINK_CREATE"
"H5P","H5P_OBJECT_COPY"
"H5P","H5P_OBJECT_CREATE"
"H5P","H5P_STRING_CREATE"
"H5Z_FILTER","H5Z_FILTER_ALL"
"H5Z_FILTER","H5Z_FILTER_DEFLATE"
"H5Z_FILTER","H5Z_FILTER_SHUFFLE"
"H5Z_FILTER","H5Z_FILTER_FLETCHER32"
"H5Z_FILTER","H5Z_FILTER_SZIP"
"H5Z_FILTER","H5Z_FILTER_NBIT"
"H5Z_FILTER","H5Z_FILTER_SCALEOFFSET"
"H5Z_FLAG","H5Z_FLAG_OPTIONAL"
"H5Z_FLAG","H5Z_FLAG_MANDATORY"
"H5P_CRT_ORDER","H5P_CRT_ORDER_TRACKED"
"H5P_CRT_ORDER","H5P_CRT_ORDER_INDEXED"
"H5O_COPY","H5O_COPY_SHALLOW_HIERARCHY_FLAG"
"H5O_COPY","H5O_COPY_EXPAND_SOFT_LINK_FLAG"
"H5O_COPY","H5O_COPY_EXPAND_EXT_LINK_FLAG"
"H5O_COPY","H5O_COPY_EXPAND_REFERENCE_FLAG"
"H5O_COPY","H5O_COPY_WITHOUT_ATTR_FLAG"
"H5O_COPY","H5O_COPY_MERGE_COMMITTED_DTYPE_FLAG"
"H5O_INFO","H5O_INFO_BASIC"
"H5O_INFO","H5O_INFO_TIME"
"H5O_INFO","H5O_INFO_NUM_ATTRS"
"H5O_INFO","H5O_INFO_HDR"
"H5O_INFO","H5O_INFO_META_SIZE"
"H5O_INFO","H5O_INFO_ALL"
"H5D_CHUNK","H5D_CHUNK_CACHE_W0_DEFAULT"